Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"case","the case for the keyboard",1,10.00,"","printing legion"
"PCB","the pcb for the board",1,27.84,"","jlcpcb"
"1n4148 diodes","the diodes for keyboard matrix",100,2.84,"https://www.aliexpress.com/item/1005011766943016.html?spm=a2g0o.productlist.main.7.6b3366c9XO8nET&algo_pvid=4686ff8b-01ef-4d59-aece-2ba6a6420e8b&algo_exp_id=4686ff8b-01ef-4d59-aece-2ba6a6420e8b-6&pdp_ext_f=%7B%22order%22%3A%22159%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.96%212.84%21%21%2120.10%2119.30%21%402101d97817776923407452272e1e3a%2112000056498191665%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29919%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=WxqQIHnQBOvN&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011766943016%7C_p_origin_prod%3A","ali express"
"raspberry pi pico h","the microconrtoller devboard thing",1,3.00,"https://www.aliexpress.com/item/1005009844027732.html?spm=a2g0o.productlist.main.13.4827apCCapCCqF&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005009844027732%7C_p_origin_prod%3A&algo_pvid=c51c447d-b00d-4d3c-9df1-87a988eed2e9&algo_exp_id=c51c447d-b00d-4d3c-9df1-87a988eed2e9&pdp_ext_f=%7B%22order%22%3A%221119%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.57%212.98%21%21%2144.62%2120.23%21%40210328c017776922501718063e1b4c%2112000050339370579%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29919%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000206134117","ali express"
"Durock Clear Screw-In Stabilizers","stabilizers for space bar",1,7.00,"https://www.aliexpress.com/item/1005007236845004.html?spm=a2g0o.productlist.main.3.1898ase7ase7JM&algo_pvid=5806a8f2-4c32-4dd2-bbc1-282acfa51f49&algo_exp_id=5806a8f2-4c32-4dd2-bbc1-282acfa51f49-2&pdp_ext_f=%7B%22order%22%3A%22126%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.35%216.35%21%21%216.35%216.35%21%402101e81117776932688596724e0a2a%2112000039909995531%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29919%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=cq3Hpwq6BscB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007236845004%7C_p_origin_prod%3A","ali express"
"blue gradient keycaps","switch covers",1,16.55,"https://www.aliexpress.com/item/1005009032705520.html?spm=a2g0o.productlist.main.2.7fe21aK91aK965&algo_pvid=6edcfeac-de3a-448c-b303-d10f2607c087&algo_exp_id=6edcfeac-de3a-448c-b303-d10f2607c087-1&pdp_ext_f=%7B%22order%22%3A%2213%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2122.07%2116.55%21%21%21149.93%21112.45%21%402101d49617776918006226446e4027%2112000047655880268%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29919%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=8Wpnbc57EDZi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009032705520%7C_p_origin_prod%3A","ali express"
"switches","the buttons in keyboard",90,35.69,"https://www.aliexpress.com/item/1005009496269008.html?spm=a2g0o.productlist.main.2.7e02fM5MfM5MXw&algo_pvid=59a365f0-2600-4815-a56b-d0a97a5b4dbd&algo_exp_id=59a365f0-2600-4815-a56b-d0a97a5b4dbd-1&pdp_ext_f=%7B%22order%22%3A%22106%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2122.99%2119.54%21%21%2122.99%2119.54%21%402101e83017776915737453434ebe85%2112000053392741002%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29919%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=lkGMG2pIpivm&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009496269008%7C_p_origin_prod%3A","ali express"
